"Post-Graduation by indicators and years"

"indicators";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"Number of state order  training  students, persons";0;1140;1196;1265;1324;1309;1279;1203;1103;1097;1023;1002;1079;1177;1156;1123;1149;1040;927;868
"Number of state order  training woman  students, persons";0;455;413;461;474;459;433;460;422;414;374;403;450;586;603;574;580;547;527;500
"Number of state order  training  man students, persons";0;685;783;804;850;850;846;743;681;683;649;599;629;591;553;549;569;493;400;368
"Number of paid training students, persons";0;187;96;112;166;219;230;211;217;296;209;52;25;64;67;55;53;45;58;68
"Number of paid training woman students, persons";0;36;30;27;68;104;146;146;146;127;103;29;13;44;43;31;33;28;39;34
"Number of paid training man students, persons";0;151;66;85;98;115;84;65;71;169;106;23;12;20;24;24;20;17;19;34
"Number of available training students, persons";539;760;697;763;768;793;701;655;560;732;658;511;513;462;443;442;456;423;364;365
"Number of available training woman students, persons";101;115;79;73;72;66;58;66;53;57;64;59;60;52;52;43;50;71;110;120
"Number of available training man students, persons";438;645;618;690;696;727;643;589;507;675;594;452;453;410;391;399;406;352;254;245
"Number of correspondence training  students, persons";453;567;595;614;722;735;808;759;760;661;574;543;591;779;780;736;746;662;621;571
"Number of correspondence training woman students, persons";238;376;364;415;470;497;521;540;515;484;413;373;403;578;594;562;563;504;456;414
"Number of correspondence training  man students, persons";215;191;231;199;252;238;287;219;245;177;161;170;188;201;186;174;183;158;165;157
"Number of graduates, persons";310;276;344;331;335;382;431;343;425;597;440;370;368;239;314;324;334;348;273;277
"Number of woman graduates, persons";99;74;95;105;78;127;129;101;126;218;182;113;106;73;114;123;147;180;106;119
"Number of man graduates, persons";211;202;249;226;257;255;302;242;299;379;258;257;262;166;200;201;187;168;167;158
"Number of state order  training  graduates, persons";0;255;294;291;317;366;368;322;360;311;336;326;336;219;302;302;325;329;268;270
"Number of state order  training  woman graduates, persons";0;74;90;97;73;119;120;88;85;91;112;88;83;60;107;111;140;168;102;116
"Number of state order  training man graduates, persons";0;181;204;194;244;247;248;234;275;220;224;238;253;159;195;191;185;161;166;154
"Number of paid training graduates, persons";0;21;50;40;18;16;63;21;65;286;104;44;32;20;12;22;9;19;5;7
"Number of paid training woman graduates, persons";0;0;5;8;5;8;9;13;41;127;70;25;23;13;7;12;7;12;4;3
"Number of paid training man graduates, persons";0;21;45;32;13;8;54;8;24;159;34;19;9;7;5;10;2;7;1;4
"Number of available training  graduates, persons";127;185;228;218;225;203;273;212;230;138;140;214;211;143;156;139;156;129;149;131
"Number of available training woman graduates, persons";15;27;26;37;14;13;35;29;16;20;18;18;15;10;18;17;17;10;15;16
"Number of available training man  graduates, persons";112;158;202;181;211;190;238;183;214;118;122;196;196;133;138;122;139;119;134;115
"Number of correspondence training   graduates, persons";183;91;116;113;110;179;158;131;195;459;300;156;157;96;158;185;178;219;124;146
"Number of correspondence training  woman graduates, persons";84;47;69;68;64;114;94;72;110;198;164;95;91;63;96;106;130;170;91;103
"Number of correspondence training  man graduates, persons";99;44;47;45;46;65;64;59;85;261;136;61;66;33;62;79;48;49;33;43
"Those who had defended thesis, persons";127;113;121;118;153;143;164;236;149;190;167;144;203;139;138;128;137;136;107;85
"Women who had defended thesis, persons";15;19;7;15;10;11;13;91;10;44;32;18;22;18;13;13;20;25;12;16
"Men who had defended thesis, persons";112;94;114;103;143;132;151;145;139;146;135;126;181;121;125;115;117;111;95;69
"Those who had defended thesis in available training, persons";68;88;107;104;144;127;135;211;122;163;122;118;183;106;104;95;108;93;95;70
"Women who had defended thesis  in available training, persons";6;9;3;9;5;1;1;82;3;37;15;8;15;1;2;3;7;2;9;5
"Men who had defended thesis  in available training, persons";62;79;104;95;139;126;134;129;119;126;107;110;168;105;102;92;101;91;86;65
"Those who had defended thesis in correspondence training, persons";59;25;14;14;9;16;29;25;27;27;45;26;20;33;34;33;29;43;12;15
"Women who had defended thesis in correspondence training, persons";9;10;4;6;5;10;12;9;7;7;17;10;7;17;11;10;13;23;3;11
"Men who had defended thesis in correspondence training, persons";50;15;10;8;4;6;17;16;20;20;28;16;13;16;23;23;16;20;9;4
"Those, who had presented  thesis to defence, persons";84;46;39;30;30;26;29;107;28;28;40;15;34;34;47;41;39;34;40;43
"Women, who had presented thesis to defence, persons";23;10;9;8;4;8;6;10;6;11;14;7;20;16;20;17;20;22;21;7
"Men, who had presented thesis to defence, persons";61;36;30;22;26;18;23;97;22;17;26;8;14;18;27;24;19;12;19;36
"Those who had presented thesis to defence in available training, persons";38;30;24;21;26;10;20;81;17;17;18;10;18;17;12;16;20;15;24;23
"Women who had  presented thesis to defence in available training, persons";11;6;3;3;3;2;3;3;3;8;3;2;4;6;3;3;4;8;9;2
"Men who had presented thesis to defence  in available training, persons";27;24;21;18;23;8;17;78;14;9;15;8;14;11;9;13;16;7;15;21
"Those who had presented thesis to defence in correspondence training, persons";46;16;15;9;4;16;9;26;11;11;22;5;16;17;35;25;19;19;16;20
"Women who had presented thesis to defence in correspondence training, persons";12;4;6;5;1;6;3;7;3;3;11;5;16;10;17;14;6;14;12;5
"Men who had presented thesis to defence in correspondence training, persons";34;12;9;4;3;10;6;19;8;8;11;0;0;7;18;11;13;5;4;15
"Number of students expanding degree of candidate of science, persons";1012;1099;1249;1215;1385;1264;1431;1432;1314;1322;1206;1557;1473;1319;1133;1034;909;702;768;639
"Number of woman students expanding degree of candidate of science, persons";532;647;735;743;871;843;929;911;833;885;761;982;871;917;733;633;577;470;502;422
"Number of  man students expanding degree of candidate of science, persons";480;452;514;472;514;421;502;521;481;437;445;575;602;402;400;401;332;232;266;217
"Those, who had defenced candidate thesis, people";200;180;212;200;255;176;187;254;127;88;114;71;117;200;185;211;141;141;137;96
"Women, who had defenced candidate thesis, people";56;70;69;76;84;64;89;128;59;39;56;35;57;109;103;113;79;73;74;52
"Men, who had defenced candidate thesis, people";144;110;143;124;171;112;98;126;68;49;58;36;60;91;82;98;62;68;63;44
"Number of foreign entrants,persons";11;12;28;24;46;18;21;28;324;331;291;260;237;28;23;14;14;20;15;18
"Number of foreign woman entrants, persons";0;5;8;4;5;3;1;5;40;40;51;56;55;7;12;6;7;9;6;8
"Number of foreign man entrants, persons";0;7;20;20;41;15;20;23;284;291;240;204;182;21;11;8;7;11;9;10
"Number of available training   foreign entrants,persons";7;10;24;20;44;15;17;24;178;183;136;117;115;18;21;11;13;15;12;12
"Number of available training   foreign woman entrants,persons";0;3;6;4;5;3;0;5;24;24;33;38;37;6;11;5;7;6;5;7
"Number of available training   foreign man entrants,persons";0;7;18;16;39;12;17;19;154;159;103;79;78;12;10;6;6;9;7;5
"Number of correspondence training  foreign entrants,persons";4;2;4;4;2;3;4;4;146;148;155;143;122;10;2;3;1;5;3;6
"Number of correspondence training  foreign woman entrants, persons";0;2;2;0;0;0;1;0;16;16;18;18;18;1;1;1;0;3;1;1
"Number of correspondence training  foreign man entrants, persons";0;0;2;4;2;3;3;4;130;132;137;125;104;9;1;2;1;2;2;5
"Number of foreign students, persons";27;32;49;69;82;84;98;107;510;520;483;468;476;137;100;68;55;48;57;54
"Number of foreign woman students, persons";0;5;8;4;5;3;1;5;40;40;51;56;134;38;32;24;19;19;20;22
"Number of foreign man students, persons";0;7;20;20;41;15;20;23;284;291;240;204;342;99;68;44;36;29;37;32
"Number of available training   foreign students, persons";7;10;24;20;44;15;17;24;178;183;136;117;285;39;72;54;41;29;37;34
"Number of available training   foreign woman  students, persons";0;3;6;4;5;3;0;5;24;24;33;38;86;10;25;18;15;12;14;16
"Number of available training   foreign man students, persons";0;7;18;16;39;12;17;19;154;159;103;79;199;29;47;36;26;17;23;18
"Number of correspondence training  foreign students, persons";4;2;4;4;2;3;4;4;146;148;155;143;191;98;28;14;14;19;20;20
"Number of correspondence training  foreign woman students, persons";0;2;2;0;0;0;1;0;16;16;18;18;48;28;7;6;4;7;6;6
"Number of correspondence training  foreign man students, persons";0;0;2;4;2;3;3;4;130;132;137;125;143;70;21;8;10;12;14;14
"Number of foreign graduates, persons";4;7;8;12;7;16;23;27;36;37;30;179;174;121;43;59;21;9;16;19
"Number of foreign woman graduates, persons";0;3;3;6;3;5;8;13;5;5;17;23;30;31;18;18;8;3;6;6
"Number of foreign man graduates, persons";0;4;5;6;4;11;15;14;31;32;13;156;144;90;25;41;13;6;10;13
"Number of available training   foreign graduates, persons";2;7;8;12;7;16;22;25;36;36;26;29;36;86;21;39;12;6;12;12
"Number of available training   foreign woman  graduates, persons";0;3;3;6;3;5;8;12;5;5;13;10;13;26;9;12;5;3;6;4
"Number of available training   foreign man graduates, persons";0;4;5;6;4;11;14;13;31;31;13;19;23;60;12;27;7;3;6;8
"Number of correspondence training  foreign graduates, persons";2;0;0;0;0;0;1;2;0;1;4;150;138;35;22;20;9;3;4;7
"Number of correspondence training  foreign woman graduates, persons";0;0;0;0;0;0;0;1;0;0;4;13;17;5;9;6;3;0;0;2
"Number of correspondence training  foreign man graduates, persons";0;0;0;0;0;0;1;1;0;1;0;137;121;30;13;14;6;3;4;5
"Number of  detached RA citizens  by the RA Ministry of Education and Science within the framework of";0;0;0;31;50;25;35;29;25;19;37;81;57;56;55;4;8;22;17;23
"Number of  detached RA woman citizens  by the RA Ministry of Education and Science within the framew";0;0;0;5;5;5;3;2;5;4;1;6;3;1;10;1;0;7;7;7
"Number of  detached RA man citizens  by the RA Ministry of Education and Science within the framewor";0;0;0;26;45;20;32;27;20;15;36;75;54;55;45;3;8;15;10;16
